Isotope	State	Intensity (pps)	Proton current	Ion source	Info
32Ge	Ge71g	1.90E7	50	Re surface	
32Ge	Ge76g	4.00E4	50	Re surface	
3Li	Li7g	1.20E10	50	Re surface	
4Be	Be10g	1.70E8	45	TRILIS	
4Be	Be11g	2.40E6	50	TRILIS	
4Be	Be12g	4.40E3	50	TRILIS	
3Li	Li11g	1.60E4	50	Re surface	
49In	In116m1	4.00E6	70	Re surface	
49In	In116m2	3.20E5	70	Re surface	
49In	In116g	1.20E4	70	Re surface	
55Cs	Cs124m1	2.60E6	70	Re surface	
55Cs	Cs124g	9.50E7	70	Re surface	
55Cs	Cs126g	9.20E7	70	Re surface	
55Cs	Cs118g	1.20E4	70	Re surface	
49In	In118m1	4.70E5	70	Re surface	
49In	In118m2	1.10E5	70	Re surface	
20Ca	Ca51g	3.20E3	70	Re surface	
20Ca	Ca51g	1.50E4	70	TRILIS	
20Ca	Ca39g	5.10E0	70	TRILIS	
19K	K49g	6.10E3	70	Re surface	
20Ca	Ca50g	1.50E4	70	Re surface	
3Li	Li7g	2.50E10	70	Re surface	
3Li	Li8g	9.10E8	70	Re surface	
3Li	Li9g	8.00E7	70	Re surface	
3Li	Li11g	1.60E4	70	Re surface	
20Ca	Ca50g	1.00E2	70	Re surface	50Ca19F
20Ca	Ca49g	6.30E5	70	TRILIS	
20Ca	Ca50g	1.20E5	70	TRILIS	
20Ca	Ca52g	1.30E3	70	TRILIS	
37Rb	Rb80g	3.40E7	65	Re surface	
19K	K38m1	1.00E4	70	Re surface	
19K	K37g	1.10E3	70	Re surface	
19K	K38g	2.20E5	70	Re surface	
19K	K46g	6.60E6	70	Re surface	
19K	K47g	8.40E5	70	Re surface	
19K	K48g	3.00E3	70	Re surface	
19K	K49g	1.10E4	70	Re surface	
19K	K50g	5.60E2	70	Re surface	
19K	K51g	2.90E1	70	Re surface	
3Li	Li8g	1.10E8	70	Re surface	
3Li	Li9g	1.90E7	70	Re surface	
3Li	Li11g	2.60E3	70	Re surface	
55Cs	Cs128g	8.80E6	70	Re surface	
55Cs	Cs121m1	2.20E6	70	Re surface	
55Cs	Cs124m1	4.20E5	70	Re surface	
55Cs	Cs121g	1.80E6	70	Re surface	
55Cs	Cs124g	2.90E7	70	Re surface	
55Cs	Cs126g	2.60E7	70	Re surface	
31Ga	Ga76g	1.50E3	70	Re surface	
31Ga	Ga77g	2.10E3	70	Re surface	
37Rb	Rb80g	2.00E8	70	Re surface	
3Li	Li8g	5.00E7	50	Re surface	
56Ba	Ba125g	1.20E6	40	Re surface	
55Cs	Cs125g	1.60E8	40	Re surface	
55Cs	Cs128g	4.60E7	40	Re surface	
55Cs	Cs130g	1.10E7	40	Re surface	
55Cs	Cs130m1	1.10E7	40	Re surface	
49In	In103m1	1.00E2	40	Re surface	
49In	In104g	4.30E2	40	Re surface	
49In	In108g	1.90E6	40	Re surface	
49In	In109g	9.30E6	40	Re surface	
50Sn	Sn106g	6.10E1	40	TRILIS	
50Sn	Sn107g	4.40E3	40	TRILIS	
50Sn	Sn108g	5.10E5	40	TRILIS	
50Sn	Sn109g	2.80E6	40	TRILIS	
50Sn	Sn113g	1.40E8	40	TRILIS	
50Sn	Sn117g	8.40E7	40	TRILIS	
50Sn	Sn119g	2.60E7	40	TRILIS	
50Sn	Sn121g	2.50E6	40	TRILIS	
50Sn	Sn110g	3.40E7	40	TRILIS	
50Sn	Sn111g	4.40E7	40	TRILIS	
50Sn	Sn112g	2.90E8	40	TRILIS	
50Sn	Sn114g	2.90E8	40	TRILIS	
50Sn	Sn115g	2.10E8	40	TRILIS	
50Sn	Sn116g	3.40E8	40	TRILIS	
50Sn	Sn118g	1.90E8	40	TRILIS	
50Sn	Sn120g	3.20E7	40	TRILIS	
50Sn	Sn122g	2.50E7	40	TRILIS	
50Sn	Sn124g	1.30E7	40	TRILIS	
55Cs	Cs124g	1.40E6	40	Re surface	124gCs16+
55Cs	Cs124g	1.20E6	40	Re surface	124gCs18+
55Cs	Cs124g	7.00E5	40	Re surface	124gCs20+
55Cs	Cs124m1	6.40E3	40	Re surface	124mCs11+
55Cs	Cs124m1	1.90E4	40	Re surface	124mCs16+
55Cs	Cs124m1	1.70E4	40	Re surface	124mCs18+
55Cs	Cs124m1	1.30E4	40	Re surface	124mCs20+
55Cs	Cs124g	4.40E5	40	Re surface	124gCs11+
19K	K48g	8.00E3	40	Re surface	48K1+
19K	K47g	1.30E6	40	Re surface	47K1+
19K	K48g	1.90E1	40	Re surface	48K8+
19K	K48g	1.00E1	40	Re surface	48K9+
19K	K47g	1.20E3	40	Re surface	47K8+
